inv_elyptical_density;length_ratio;NRes
14.7312466048;1.91178424761;113.0
19.5725905621;2.95775652554;63.0
16.1045240299;1.61532730144;133.0
17.6519883268;2.40462543486;148.0
15.4604029948;1.44367737659;127.0
17.8224775001;3.50944990804;36.0
18.6174007752;2.18376102782;131.0
17.3398240786;2.5090447805;81.0
16.5661676431;1.67395285363;216.0
16.9163361904;1.36392874745;85.0
14.272449268;2.05135742386;102.0
18.7353579842;1.82356624624;112.0
18.4040974844;2.86126846264;68.0
15.8441537895;1.84244024814;309.0
17.4045740771;2.09020472846;177.0
15.3542607058;1.42184715997;92.0
17.041778946;2.27214258204;133.0
17.8902778468;2.29431163348;66.0
16.5309297352;1.75618670039;69.0
14.5695042595;1.63985698863;99.0
16.1773955428;1.41201233835;492.0
16.8307371494;3.69523565382;93.0
16.8324737351;1.18305467509;315.0
16.4594755198;1.57364859081;293.0
18.9024945977;2.17849069331;144.0
16.6438456315;3.18177383854;191.0
15.1449388553;2.39707983922;62.0
16.7325283364;2.3583453114;262.0
17.9747021563;1.47847333278;61.0
19.8085280064;1.74516539628;89.0
15.3690821238;1.66220211392;127.0
25.2523030519;2.5126515106;275.0
27.541449213;3.36388709419;156.0
14.3003193428;1.96943580535;74.0
15.7305075043;2.29461127474;121.0
14.4045564392;1.25197335512;215.0
17.375535998;1.73179211167;76.0
17.1254000058;2.05288017693;124.0
15.4111443205;2.32587251345;60.0
15.7132174419;1.48013689036;320.0
17.1507914465;1.23942534073;118.0
16.7762570437;1.33649798112;185.0
15.2202691701;1.640767312;213.0
25.3252908258;4.18304308705;152.0
15.2637776188;1.29761879667;28.0
15.262797801;1.59723198835;263.0
14.8565618683;1.31240064746;265.0
17.4725637297;1.5676888308;97.0
16.2223768514;1.54389370988;90.0
17.9732885501;1.37648523536;97.0
14.9152470501;1.75645519147;111.0
15.9784584347;2.02288193245;88.0
18.2625427758;3.16804221048;164.0
16.6289417686;1.52528765904;81.0
15.9642459219;2.22990965218;63.0
16.5787768227;1.46370876016;154.0
18.2344003127;1.5699406385;108.0
15.6754197412;1.87935722941;476.0
16.391798219;1.93343439213;115.0
15.027670033;1.33050291883;202.0
16.5644597351;1.3277820685;61.0
13.9685899632;1.83494594743;37.0
16.0033338551;1.39016158663;213.0
16.8220153947;1.68575110147;88.0
14.976264979;1.60740562601;249.0
18.2100647419;2.12336774742;348.0
19.2503384151;1.24674609755;108.0
16.637272467;1.77040976679;124.0
15.8578842591;1.1828244038;189.0
26.6005679789;2.02766733827;346.0
20.008978744;2.81090690869;72.0
16.5903431082;1.69494981149;251.0
17.4030368697;1.52262192384;142.0
16.6660749567;1.42323080092;161.0
29.672534412;3.6050167713;96.0
19.9283072321;1.96145957505;140.0
21.454963696;1.46268773887;129.0
17.0110203031;1.42629143321;423.0
24.6547547098;2.92230850923;103.0
16.2049047093;1.84073230018;376.0
20.9294749793;2.97691735178;75.0
